C	LocalRolesData
#								
T	ulong	string	int	string[]	string[]	int	float	float
H	id	name	level	recruitDemandArticle	recruitGetArticle	downImage	forward	exp
#	编号	名称	等级					
#								
	110000001	player1	21			1	0	0
	110000002	player2	24			1	0	0
	110010001	helper1	11	120010001:6;120010002:3	120010001:4;120010002:2	1	0	100
	110010002	helper2	11	120010001:6;120010002:3	120010001:4;120010002:2	1	0	100
	110010003	helper3	12	120010001:24;120010002:13;120010003:7	120010001:19;120010002:10;120010003:3	1	0	300
	110010004	helper4	12	120010001:24;120010002:13;120010003:7	120010001:19;120010002:10;120010003:3	1	0	300
	110010005	helper5	12	120010001:24;120010002:13;120010003:7	120010001:19;120010002:10;120010003:3	1	0	300
	110010006	helper6	12	120010001:24;120010002:13;120010003:7	120010001:19;120010002:10;120010003:3	1	0	300
	110010007	helper7	13	120010001:52;120010002:32;120010003:17	120010001:41;120010002:26;120010003:7	1	0	900
	110010008	helper8	13	120010001:52;120010002:32;120010003:17	120010001:41;120010002:26;120010003:7	1	0	900
	110010009	helper9	13	120010001:52;120010002:32;120010003:17	120010001:41;120010002:26;120010003:7	1	0	900
	110010010	helper10	13	120010001:52;120010002:32;120010003:17	120010001:41;120010002:26;120010003:7	1	0	900
	110010011	helper11	14	120010001:48;120010002:10;120010003:7	120010001:38;120010002:8;120010003:3	1	0	100
	110010012	helper12	14	120010001:48;120010002:10;120010003:7	120010001:38;120010002:8;120010003:3	1	0	100
	110010013	helper13	15	120010001:78;120010002:26;120010003:17	120010001:62;120010002:21;120010003:7	1	0	300
	110010014	helper14	15	120010001:78;120010002:26;120010003:17	120010001:62;120010002:21;120010003:7	1	0	300
	110010015	helper15	15	120010001:78;120010002:26;120010003:17	120010001:62;120010002:21;120010003:7	1	0	300
	110010016	helper16	15	120010001:78;120010002:26;120010003:17	120010001:62;120010002:21;120010003:7	1	0	300
	110010017	helper17	16	120010001:120;120010002:40;120010003:27	120010001:96;120010002:32;120010003:11	1	0	900
	110010018	helper18	16	120010001:120;120010002:40;120010003:27	120010001:96;120010002:32;120010003:11	1	0	900
	110010019	helper19	16	120010001:120;120010002:40;120010003:27	120010001:96;120010002:32;120010003:11	1	0	900
	110010020	helper20	16	120010001:120;120010002:40;120010003:27	120010001:96;120010002:32;120010003:11	1	0	900
	110020001	Enemy1	1	120010001:99999;120010002:99999;120010003:99999	120010001:4;120010002:2	1	2	100
	110020002	Enemy2	1	120010001:99999;120010002:99999;120010003:99999	120010001:4;120010002:2	1	2	100
	110020003	Enemy3	1	120010001:99999;120010002:99999;120010003:99999	120010001:4;120010002:2	1	2	100
	110020004	Enemy4	2	120010001:99999;120010002:99999;120010003:99999	120010001:19;120010002:10;120010003:3	1	5	300
	110020005	Enemy5	2	120010001:99999;120010002:99999;120010003:99999	120010001:19;120010002:10;120010003:3	1	5	300
	110020006	Enemy6	2	120010001:99999;120010002:99999;120010003:99999	120010001:19;120010002:10;120010003:3	1	5	300
	110020007	Enemy7	2	120010001:99999;120010002:99999;120010003:99999	120010001:19;120010002:10;120010003:3	1	5	300
	110020008	Enemy8	3	120010001:99999;120010002:99999;120010003:99999	120010001:41;120010002:26;120010003:7	1	15	900
	110020009	Enemy9	3	120010001:99999;120010002:99999;120010003:99999	120010001:41;120010002:26;120010003:7	1	15	900
	110020010	Enemy10	3	120010001:99999;120010002:99999;120010003:99999	120010001:41;120010002:26;120010003:7	1	15	900
	110020011	Enemy11	5	120010001:99999;120010002:99999;120010003:99999	120010001:38;120010002:8;120010003:3	1	2	100
	110020012	Enemy12	5	120010001:99999;120010002:99999;120010003:99999	120010001:38;120010002:8;120010003:3	1	2	100
	110020013	Enemy13	5	120010001:99999;120010002:99999;120010003:99999	120010001:38;120010002:8;120010003:3	1	2	100
	110020014	Enemy14	6	120010001:99999;120010002:99999;120010003:99999	120010001:62;120010002:21;120010003:7	1	5	300
	110020015	Enemy15	6	120010001:99999;120010002:99999;120010003:99999	120010001:62;120010002:21;120010003:7	1	5	300
	110020016	Enemy16	6	120010001:99999;120010002:99999;120010003:99999	120010001:62;120010002:21;120010003:7	1	5	300
	110020017	Enemy17	6	120010001:99999;120010002:99999;120010003:99999	120010001:62;120010002:21;120010003:7	1	5	300
	110020018	Enemy18	7	120010001:99999;120010002:99999;120010003:99999	120010001:96;120010002:32;120010003:11	1	15	900
	110020019	Enemy19	7	120010001:99999;120010002:99999;120010003:99999	120010001:96;120010002:32;120010003:11	1	15	900
	110020020	Enemy20	7	120010001:99999;120010002:99999;120010003:99999	120010001:96;120010002:32;120010003:11	1	15	900
	110020201	boss1	4	120010001:99999;120010002:99999;120010003:99999	120010001:80;120010002:50;120010003:50	1	0	1000
	110020202	boss2	8	120010001:99999;120010002:99999;120010003:99999	120010001:160;120010002:100;120010003:100	1	0	1000
