C	LocalizeRolesData
#	[0] Express:     , [1][2] Express: Type ( 01: No Battle, 02: Battle)  --  [3][4] Express: Primary Type ( 01: original,  02: Effects)  --  [5][6] Express: Secondary Type ( 01: Explosion,  02: Line,  03: Motion Trail)  --  [7][8][9][10] Express: Serial Number							
T	ulong	string	int	uint	uint	uint	string	float
H	id	name	typeType	articlesType	articleType	number	prefabName	attack
I	物品编号	名称		[3][4]	[5][6]	[7][8][9][10]		
#	Character							
	10104010001	帝国使者_Z	1	4	1	1	10104010001	110
	10104010002	帝国使者_Y	1	4	1	2	10104010002	120
	10104010003	帝国使者_X	1	4	1	3	10104010003	130
	10104010004	帝国使者_W	1	4	1	4	10104010004	140
	10104010005	帝国使者_V	1	4	1	5	10104010005	150
	10104010006	帝国使者_U	1	4	1	6	10104010006	160
	10104010007	帝国使者_N	1	4	1	7	10104010007	170
	10104010008	帝国使者_M	1	4	1	8	10104010008	180
	10104010009	帝国使者_L	1	4	1	9	10104010009	190
#	Enemy							
#								
	10104020001	噬魂_Z	1	4	2	1	10104020001	11
	10104020002	噬魂_Y	1	4	2	2	10104020002	12
	10104020003	噬魂_X	1	4	2	3	10104020003	13
	10104020004	噬魂_W	1	4	2	4	10104020004	14
	10104020005	噬魂_V	1	4	2	5	10104020005	15
	10104020006	噬魂_U	1	4	2	6	10104020006	16
	10104020007	噬魂_N	1	4	2	7	10104020007	17
	10104020008	噬魂_M	1	4	2	8	10104020008	18
	10104020009	噬魂_L	1	4	2	9	10104020009	19
#								
	10104020011	伤心花_Z	1	4	2	11	10104020011	21
	10104020012	伤心花_Y	1	4	2	12	10104020012	22
	10104020013	伤心花_X	1	4	2	13	10104020013	23
	10104020014	伤心花_W	1	4	2	14	10104020014	24
	10104020015	伤心花_V	1	4	2	15	10104020015	25
	10104020016	伤心花_U	1	4	2	16	10104020016	26
	10104020017	伤心花_N	1	4	2	17	10104020017	27
	10104020018	伤心花_M	1	4	2	18	10104020018	28
	10104020019	伤心花_L	1	4	2	19	10104020019	29
#								
	10104020021	天烺_Z	1	4	2	21	10104020021	31
	10104020022	天烺_Y	1	4	2	22	10104020022	32
	10104020023	天烺_X	1	4	2	23	10104020023	33
	10104020024	天烺_W	1	4	2	24	10104020024	34
	10104020025	天烺_V	1	4	2	25	10104020025	35
	10104020026	天烺_U	1	4	2	26	10104020026	36
	10104020027	天烺_N	1	4	2	27	10104020027	37
	10104020028	天烺_M	1	4	2	28	10104020028	38
	10104020029	天烺_L	1	4	2	29	10104020029	39
#								
	10104020031	斩龙剑_Z	1	4	2	31	10104020031	41
	10104020032	斩龙剑_Y	1	4	2	32	10104020032	42
	10104020033	斩龙剑_X	1	4	2	33	10104020033	43
	10104020034	斩龙剑_W	1	4	2	34	10104020034	44
	10104020035	斩龙剑_V	1	4	2	35	10104020035	45
	10104020036	斩龙剑_U	1	4	2	36	10104020036	46
	10104020037	斩龙剑_N	1	4	2	37	10104020037	47
	10104020038	斩龙剑_M	1	4	2	38	10104020038	48
	10104020039	斩龙剑_L	1	4	2	39	10104020039	49
