C	LocalItemData
#				
T	ulong	string	string[]	int
H	id	name	effect	type
#	编号	名称	作用	
#				
	120010001	zhanli		2
	120010002	food		2
	120010003	gold		2
#				
	120020001	sword1	2:10	3
	120020002	sword2	2:20	3
	120020003	sword3	2:30	3
#				
	120030001	shield1	3:10	3
	120030002	shield2	3:20	3
	120030003	shield3	3:30	3
#				
	120040001	drumastick4	1:-2	3
#				
	120050001	gold	1:-2	2
#				
	1		1:-2	1
	2		1:-2	1
	3		1:-2	1
	4		1:-2	1
	5		1:-2	1
	6		1:-2	1
	7		1:-2	1
	8		1:-2	1
	9		1:-2	1
	10		1:-2	1
	11		1:-2	1
	12		1:-2	1
	13		1:-2	1
	14		1:-2	1
	15		1:-2	1
	16		1:-2	1
	17		1:-2	1
	18		1:-2	1
	19		1:-2	1
