C	LocalRolesLevelData
#							
T	ulong	string	float	float	float	float	float
H	id	name	attack	defend	maxBlood	attackInterval	level
#	编号	等级	攻击力	防御力			
#							
	1	1	3	1	61	1	99999
	2	2	12	11	260	1	99999
	3	3	26	26	653	1	99999
	4	4	40	40	1200	1.5	99999
	5	5	24	20	216	1	99999
	6	6	39	34	537	1	99999
	7	7	60	47	805	1	99999
	8	8	64	60	1750	1.5	99999
	9	9	1	1	1	1	99999
	10	10	1	1	1	1	99999
	11	1	16	4	120	1	99999
	12	2	48	18	360	1	99999
	13	3	48	24	720	1	99999
	14	4	1	1	1	1	99999
	15	5	24	20	216	1	99999
	16	6	26	24	550	1	99999
	17	7	66	35	900	1	99999
	18	8	1	1	1	1	99999
	19	9	1	1	1	1	99999
	20	10	1	1	1	1	99999
	21	1	36	10	240	1	1400
	22	2	44	16	260	1	1500
	23	3	52	22	280	1	1600
	24	4	60	30	300	1	1700
	25	5	66	38	330	1	1800
	26	6	72	46	360	1	1900
	27	7	78	54	390	1	2000
	28	8	84	62	420	1	2100
	29	9	90	70	450	1	2200
	30	10	96	78	480	1	2300
	31	11	102	86	510	1	2400
	32	12	108	94	540	1	2500
	33	13	114	102	570	1	2600
	34	14	120	110	600	1	2700
	35	15	126	118	630	1	2800
	36	16	132	126	660	1	2900
