C	LocalizeArticleData
#	[0] Express:     , [1][2] Express: Type ( 01: No Battle, 02: Battle)  --  [3][4] Express: Primary Type ( 01: original,  02: Effects)  --  [5][6] Express: Secondary Type ( 01: Explosion,  02: Line,  03: Motion Trail)  --  [7][8][9][10] Express: Serial Number							
T	ulong	string	int	uint	uint	uint	string	string[]
H	id	name	typeType	articlesType	articleType	number	prefabName	role
I	物品编号	名称	[1][2]	[3][4]	[5][6]	[7][8][9][10]		作用
#	Character							
	10205010001	10205010001	2	5	1	1	10205010001	1:10;
	10205010002	10205010002	2	5	1	2	10205010002	1:20;
	10205010003	10205010003	2	5	1	3	10205010003	1:30
	10205010004	10205010004	2	5	1	4	10205010004	1:40
	10205010005	10205010005	2	5	1	5	10205010005	1:50
	10205010006	10205010006	2	5	1	6	10205010006	1:60
	10205010007	10205010007	2	5	1	7	10205010007	1:70
	10205010008	10205010008	2	5	1	8	10205010008	1:80
	10205010009	10205010009	2	5	1	9	10205010009	1:90
#								
	10205020001	10205020001	2	5	2	1	10205020001	2:10
	10205020002	10205020002	2	5	2	2	10205020002	2:20
	10205020003	10205020003	2	5	2	3	10205020003	2:30
	10205020004	10205020004	2	5	2	4	10205020004	2:40
	10205020005	10205020005	2	5	2	5	10205020005	2:50
	10205020006	10205020006	2	5	2	6	10205020006	2:60
	10205020007	10205020007	2	5	2	7	10205020007	2:70
	10205020008	10205020008	2	5	2	8	10205020008	2:80
	10205020009	10205020009	2	5	2	9	10205020009	2:90
#								
	10205030001	10205030001	2	5	3	1	10205030001	3:10
	10205030002	10205030002	2	5	3	2	10205030002	3:20
	10205030003	10205030003	2	5	3	3	10205030003	3:30
	10205030004	10205030004	2	5	3	4	10205030004	3:40
	10205030005	10205030005	2	5	3	5	10205030005	3:50
	10205030006	10205030006	2	5	3	6	10205030006	3:60
	10205030007	10205030007	2	5	3	7	10205030007	3:70
	10205030008	10205030008	2	5	3	8	10205030008	3:80
	10205030009	10205030009	2	5	3	9	10205030009	3:90
#								
	10205040001	10205040001	2	5	4	1	10205040001	1:10;2:10;3:10
	10205040002	10205040002	2	5	4	2	10205040002	1:20;2:20;3:20
	10205040003	10205040003	2	5	4	3	10205040003	1:30;2:30;3:30
	10205040004	10205040004	2	5	4	4	10205040004	1:40;2:40;3:40
	10205040005	10205040005	2	5	4	5	10205040005	1:50;2:50;3:50
	10205040006	10205040006	2	5	4	6	10205040006	1:60;2:60;3:60
	10205040007	10205040007	2	5	4	7	10205040007	1:70;2:70;3:70
	10205040008	10205040008	2	5	4	8	10205040008	1:80;2:80;3:80
	10205040009	10205040009	2	5	4	9	10205040009	1:90;2:90;3:90
