C	LocalizeConstructionData
#	[0] Express:     , [1][2] Express: Type ( 01: No Battle, 02: Battle)  --  [3][4] Express: Primary Type ( 01: original,  02: Effects)  --  [5][6] Express: Secondary Type ( 01: Explosion,  02: Line,  03: Motion Trail)  --  [7][8][9][10] Express: Serial Number							
T	ulong	string	uint	uint	uint	uint	float	string
H	id	name	typeType	articlesType	articleType	number	attack	prefabName
I	物品编号	名称	[1][2]	[3][4]	[5][6]	[7][8][9][10]		
	10203010001	通用防御塔_Z	2	3	1	1	10	EmpireDefense_Z
	10203010002	10203010002	2	3	1	2	20	10203010002
	10203010003	10203010003	2	3	1	3	30	10203010003
	10203010004	10203010004	2	3	1	4	40	10203010004
	10203010005	10203010005	2	3	1	5	50	10203010005
	10203010006	10203010006	2	3	1	6	60	10203010006
	10203010007	10203010007	2	3	1	7	70	10203010007
	10203010008	10203010008	2	3	1	8	80	10203010008
	10203010009	10203010009	2	3	1	9	90	10203010009
#								
	10203020001	10203020001	2	3	2	1	110	10203020001
	10203020002	10203020002	2	3	2	2	120	10203020002
	10203020003	10203020003	2	3	2	3	130	10203020003
	10203020004	10203020004	2	3	2	4	140	10203020004
	10203020005	10203020005	2	3	2	5	150	10203020005
	10203020006	10203020006	2	3	2	6	160	10203020006
	10203020007	10203020007	2	3	2	7	170	10203020007
	10203020008	10203020008	2	3	2	8	180	10203020008
	10203020009	10203020009	2	3	2	9	190	10203020009
#								
	10203030001	10203030001	2	3	3	1	210	10203030001
	10203030002	10203030002	2	3	3	2	220	10203030002
	10203030003	10203030003	2	3	3	3	230	10203030003
	10203030004	10203030004	2	3	3	4	240	10203030004
	10203030005	10203030005	2	3	3	5	250	10203030005
	10203030006	10203030006	2	3	3	6	260	10203030006
	10203030007	10203030007	2	3	3	7	270	10203030007
	10203030008	10203030008	2	3	3	8	280	10203030008
	10203030009	10203030009	2	3	3	9	290	10203030009
#								
	10203040001	10203040001	2	3	4	1	310	10203040001
	10203040002	10203040002	2	3	4	2	320	10203040002
	10203040003	10203040003	2	3	4	3	330	10203040003
	10203040004	10203040004	2	3	4	4	340	10203040004
	10203040005	10203040005	2	3	4	5	350	10203040005
	10203040006	10203040006	2	3	4	6	360	10203040006
	10203040007	10203040007	2	3	4	7	370	10203040007
	10203040008	10203040008	2	3	4	8	380	10203040008
	10203040009	10203040009	2	3	4	9	390	10203040009
