C	LocalizeSkillsData
#	[0] Express:     , [1][2] Express: Type ( 01: No Battle, 02: Battle)  --  [3][4] Express: Primary Type ( 01: original,  02: Effects)  --  [5][6] Express: Secondary Type ( 01: Explosion,  02: Line,  03: Motion Trail)  --  [7][8][9][10] Express: Serial Number								
T	ulong	string	uint	uint	uint	uint	ulong	float	string
H	id	name	typeType	articlesType	articleType	number	price	attack	prefabName
I	物品编号	物品名称	[1][2]	[3][4]	[5][6]	[7][8][9][10]	物品价格		预制体名称
	10201010001	噬魂弓箭_Z	2	1	1	1	1000	30	Common_Arrow_Z
	10201010002	噬魂弓箭_Y	2	1	1	2	2000	60	Common_Arrow_Y
	10201010003	噬魂弓箭_X	2	1	1	3	3000	70	Common_Arrow_X
	10201010004	噬魂弓箭_W	2	1	1	4	4000	80	Common_Arrow_W
	10201010005	噬魂弓箭_V	2	1	1	5	5000	100	Common_Arrow_V
	10201010006	噬魂弓箭_U	2	1	1	6	6000	120	Common_Arrow_U
#									
#	Explosion								
	10202010001	10202010001	2	2	1	1	10202010001	0	10202010001
	10202010002	10202010002	2	2	1	2	10202010002	0	10202010002
	10202010003	10202010003	2	2	1	3	10202010003	0	10202010003
	10202010004	10202010004	2	2	1	4	10202010004	0	10202010004
	10202010005	10202010005	2	2	1	5	10202010005	0	10202010005
	10202010006	10202010006	2	2	1	6	10202010006	0	10202010006
	10202010007	10202010007	2	2	1	7	10202010007	0	10202010007
	10202010008	10202010008	2	2	1	8	10202010008	0	10202010008
	10202010009	10202010009	2	2	1	9	10202010009	0	10202010009
#	Line								Line
	10202020001	10202020001	2	2	2	1	10202020001	0	10202020001
	10202020002	10202020002	2	2	2	2	10202020002	0	10202020002
	10202020003	10202020003	2	2	2	3	10202020003	0	10202020003
	10202020004	10202020004	2	2	2	4	10202020004	0	10202020004
	10202020005	10202020005	2	2	2	5	10202020005	0	10202020005
	10202020006	10202020006	2	2	2	6	10202020006	0	10202020006
	10202020007	10202020007	2	2	2	7	10202020007	0	10202020007
	10202020008	10202020008	2	2	2	8	10202020008	0	10202020008
	10202020009	10202020009	2	2	2	9	10202020009	0	10202020009
#	Motion Trail								Motion Trail
	10202030001	10202030001	2	2	3	1	10202030001	0	10202030001
	10202030002	10202030002	2	2	3	2	10202030002	0	10202030002
	10202030003	10202030003	2	2	3	3	10202030003	0	10202030003
	10202030004	10202030004	2	2	3	4	10202030004	0	10202030004
	10202030005	10202030005	2	2	3	5	10202030005	0	10202030005
	10202030006	10202030006	2	2	3	6	10202030006	0	10202030006
	10202030007	10202030007	2	2	3	7	10202030007	0	10202030007
	10202030008	10202030008	2	2	3	8	10202030008	0	10202030008
	10202030009	10202030009	2	2	3	9	10202030009	0	10202030009
#	Hint								
	10202040001	10202040001	2	2	4	1	10202040001	0	10202040001
	10202040002	10202040002	2	2	4	2	10202040002	0	10202040002
	10202040003	10202040003	2	2	4	3	10202040003	0	10202040003
	10202040004	10202040004	2	2	4	4	10202040004	0	10202040004
	10202040005	10202040005	2	2	4	5	10202040005	0	10202040005
	10202040006	10202040006	2	2	4	6	10202040006	0	10202040006
	10202040007	10202040007	2	2	4	7	10202040007	0	10202040007
	10202040008	10202040008	2	2	4	8	10202040008	0	10202040008
	10202040009	10202040009	2	2	4	9	10202040009	0	10202040009
#	Cloud								
	10202050001	10202050001	2	2	5	1	10202050001	0	10202050001
	10202050002	10202050002	2	2	5	2	10202050002	0	10202050002
	10202050003	10202050003	2	2	5	3	10202050003	0	10202050003
	10202050004	10202050004	2	2	5	4	10202050004	0	10202050004
	10202050005	10202050005	2	2	5	5	10202050005	0	10202050005
	10202050006	10202050006	2	2	5	6	10202050006	0	10202050006
	10202050007	10202050007	2	2	5	7	10202050007	0	10202050007
	10202050008	10202050008	2	2	5	8	10202050008	0	10202050008
	10202050009	10202050009	2	2	5	9	10202050009	0	10202050009
#									
	10202060001	10202060001	2	2	6	1	10202060001	0	10202060001
	10202060002	10202060002	2	2	6	2	10202060002	0	10202060002
	10202060003	10202060003	2	2	6	3	10202060003	0	10202060003
	10202060004	10202060004	2	2	6	4	10202060004	0	10202060004
	10202060005	10202060005	2	2	6	5	10202060005	0	10202060005
	10202060006	10202060006	2	2	6	6	10202060006	0	10202060006
	10202060007	10202060007	2	2	6	7	10202060007	0	10202060007
	10202060008	10202060008	2	2	6	8	10202060008	0	10202060008
	10202060009	10202060009	2	2	6	9	10202060009	0	10202060009
#									
	10202070001	10202070001	2	2	7	1	10202070001	0	10202070001
	10202070002	10202070002	2	2	7	2	10202070002	0	10202070002
	10202070003	10202070003	2	2	7	3	10202070003	0	10202070003
	10202070004	10202070004	2	2	7	4	10202070004	0	10202070004
	10202070005	10202070005	2	2	7	5	10202070005	0	10202070005
	10202070006	10202070006	2	2	7	6	10202070006	0	10202070006
	10202070007	10202070007	2	2	7	7	10202070007	0	10202070007
	10202070008	10202070008	2	2	7	8	10202070008	0	10202070008
	10202070009	10202070009	2	2	7	9	10202070009	0	10202070009
#									
	10202080001	10202080001	2	2	8	1	10202080001	0	10202080001
	10202080002	10202080002	2	2	8	2	10202080002	0	10202080002
	10202080003	10202080003	2	2	8	3	10202080003	0	10202080003
	10202080004	10202080004	2	2	8	4	10202080004	0	10202080004
	10202080005	10202080005	2	2	8	5	10202080005	0	10202080005
	10202080006	10202080006	2	2	8	6	10202080006	0	10202080006
	10202080007	10202080007	2	2	8	7	10202080007	0	10202080007
	10202080008	10202080008	2	2	8	8	10202080008	0	10202080008
	10202080009	10202080009	2	2	8	9	10202080009	0	10202080009
#									
	10202090001	10202090001	2	2	9	1	10202090001	0	10202090001
	10202090002	10202090002	2	2	9	2	10202090002	0	10202090002
	10202090003	10202090003	2	2	9	3	10202090003	0	10202090003
	10202090004	10202090004	2	2	9	4	10202090004	0	10202090004
	10202090005	10202090005	2	2	9	5	10202090005	0	10202090005
	10202090006	10202090006	2	2	9	6	10202090006	0	10202090006
	10202090007	10202090007	2	2	9	7	10202090007	0	10202090007
	10202090008	10202090008	2	2	9	8	10202090008	0	10202090008
	10202090009	10202090009	2	2	9	9	10202090009	0	10202090009
