C	LocalizeUIDialogData
#	[0] Express:     , [1][2] Express: Type ( 01: No Battle, 02: Battle)  --  [3][4] Express: Primary Type ( 01: original,  02: Effects)  --  [5][6] Express: Secondary Type ( 01: Explosion,  02: Line,  03: Motion Trail)  --  [7][8][9][10] Express: Serial Number	名称					
T	ulong	string	uint	uint	uint	uint	string
H	id	name	typeType	articlesType	articleType	number	prefabName
I	物品编号	名称	[1][2]	[3][4]	[5][6]	[7][8][9][10]	
#	hint	名称					
	10104010001	10104010001	1	4	1	1	Dialog_Common_Hint_01
	10104010002	10104010002	1	4	1	2	Dialog_Common_Hint_02
	10104010003	10104010003	1	4	1	3	10104010003
	10104010004	10104010004	1	4	1	4	10104010004
	10104010005	10104010005	1	4	1	5	10104010005
	10104010006	10104010006	1	4	1	6	10104010006
	10104010007	10104010007	1	4	1	7	10104010007
	10104010008	10104010008	1	4	1	8	10104010008
	10104010009	10104010009	1	4	1	9	10104010009
#	article	名称					
	10104020001	10104020001	1	4	2	1	Common_Article_1
	10104020002	10104020002	1	4	2	2	Common_Article_2
	10104020003	10104020003	1	4	2	3	Common_Article_3
	10104020004	10104020004	1	4	2	4	UICommon_ArticleFrame
	10104020005	10104020005	1	4	2	5	10104020005
	10104020006	10104020006	1	4	2	6	10104020006
	10104020007	10104020007	1	4	2	7	10104020007
	10104020008	10104020008	1	4	2	8	10104020008
	10104020009	10104020009	1	4	2	9	10104020009
#	popup	名称					
	10104030001	10104030001	1	4	3	1	10104030001
	10104030002	10104030003	1	4	3	2	10104030002
	10104030003	10104030005	1	4	3	3	10104030003
	10104030004	10104030007	1	4	3	4	10104030004
	10104030005	10104030009	1	4	3	5	10104030005
	10104030006	10104030011	1	4	3	6	10104030006
	10104030007	10104030013	1	4	3	7	10104030007
	10104030008	10104030015	1	4	3	8	10104030008
	10104030009	10104030017	1	4	3	9	10104030009
#	system	名称					
	10104040001	10104040001	1	4	4	1	Dialog_Common_Setting_01
	10104040002	10104040002	1	4	4	2	Dialog_Common_Setting_02
	10104040003	10104040003	1	4	4	3	Dialog_LoadingScene
	10104040004	10104040004	1	4	4	4	Dialog_Menu
	10104040005	10104040005	1	4	4	5	RegisterWindow
	10104040006	10104040006	1	4	4	6	10104040006
	10104040007	10104040007	1	4	4	7	10104040007
	10104040008	10104040008	1	4	4	8	10104040008
	10104040009	10104040009	1	4	4	9	10104040009
#	backpack	名称					
	10104050001	10104050001	1	4	5	1	Dialog_Backpack
	10104050002	10104050002	1	4	5	2	10104050002
	10104050003	10104050003	1	4	5	3	10104050003
	10104050004	10104050004	1	4	5	4	10104050004
	10104050005	10104050005	1	4	5	5	10104050005
	10104050006	10104050006	1	4	5	6	10104050006
	10104050007	10104050007	1	4	5	7	10104050007
	10104050008	10104050008	1	4	5	8	10104050008
	10104050009	10104050009	1	4	5	9	10104050009
#		名称					
	10104060001	10104060001	1	4	6	1	Common_FunctionWindow
	10104060002	10104060002	1	4	6	2	10104060002
	10104060003	10104060003	1	4	6	3	10104060003
	10104060004	10104060004	1	4	6	4	10104060004
	10104060005	10104060005	1	4	6	5	10104060005
	10104060006	10104060006	1	4	6	6	10104060006
	10104060007	10104060007	1	4	6	7	10104060007
	10104060008	10104060008	1	4	6	8	10104060008
	10104060009	10104060009	1	4	6	9	10104060009
#		名称					
	10104070001	10104070001	1	4	7	1	Main Handle
	10104070002	10104070002	1	4	7	2	10104070002
	10104070003	10104070003	1	4	7	3	10104070003
	10104070004	10104070004	1	4	7	4	10104070004
	10104070005	10104070005	1	4	7	5	10104070005
	10104070006	10104070006	1	4	7	6	10104070006
	10104070007	10104070007	1	4	7	7	10104070007
	10104070008	10104070008	1	4	7	8	10104070008
	10104070009	10104070009	1	4	7	9	10104070009
#		名称					
	10104080001	10104080001	1	4	8	1	10104080001
	10104080002	10104080002	1	4	8	2	10104080002
	10104080003	10104080003	1	4	8	3	10104080003
	10104080004	10104080004	1	4	8	4	10104080004
	10104080005	10104080005	1	4	8	5	10104080005
	10104080006	10104080006	1	4	8	6	10104080006
	10104080007	10104080007	1	4	8	7	10104080007
	10104080008	10104080008	1	4	8	8	10104080008
	10104080009	10104080009	1	4	8	9	10104080009
#		名称					
	10104090001	10104090001	1	4	9	1	10104090001
	10104090002	10104090002	1	4	9	2	10104090002
	10104090003	10104090003	1	4	9	3	10104090003
	10104090004	10104090004	1	4	9	4	10104090004
	10104090005	10104090005	1	4	9	5	10104090005
	10104090006	10104090006	1	4	9	6	10104090006
	10104090007	10104090007	1	4	9	7	10104090007
	10104090008	10104090008	1	4	9	8	10104090008
	10104090009	10104090009	1	4	9	9	10104090009
